#1+z Log10(Mass/Msun) Log10(Median_SFR_for_SF_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1.02802 10.2 -2.78184 0.191966
1.02802 10.25 -2.66871 0.182894
1.02802 10.3 -2.55565 0.178411
1.02802 10.35 -2.44265 0.173765
1.02802 10.4 -2.32972 0.16944
1.02802 10.45 -2.21685 0.166461
1.02802 10.5 -2.10403 0.161761
1.02802 10.55 -1.9912 0.154921
1.02802 10.6 -1.8783 0.15301
1.02802 10.65 -1.76523 0.14892
1.02802 10.7 -1.65189 0.147304
1.02802 10.75 -1.53818 0.146484
1.02802 10.8 -1.42407 0.145684
1.02802 10.85 -1.30965 0.147832
1.02802 10.9 -1.19517 0.148497
1.02802 10.95 -1.0811 0.149746
1.02802 11 -0.968139 0.149254
1.02802 11.05 -0.857172 0.14831
1.02802 11.1 -0.749201 0.147698
1.02802 11.15 -0.645259 0.147549
1.02802 11.2 -0.546327 0.147463
1.02802 11.25 -0.45325 0.146233
1.02802 11.3 -0.366693 0.143372
1.02802 11.35 -0.287102 0.143222
1.02802 11.4 -0.214696 0.140779
1.02802 11.45 -0.149472 0.138908
1.02802 11.5 -0.0912132 0.136401
1.02802 11.55 -0.0395215 0.138165
1.02802 11.6 0.0061496 0.139991
1.02802 11.65 0.0464461 0.137931
1.02802 11.7 0.0820603 0.140992
1.02802 11.75 0.113678 0.144344
1.02802 11.8 0.141933 0.14901
1.02802 11.85 0.167382 0.152753
1.02802 11.9 0.190487 0.155608
1.02802 11.95 0.211626 0.157314
1.02802 12 0.231102 0.160742
1.02802 12.05 0.249163 0.166504
1.02802 12.1 0.266016 0.170732
1.02802 12.15 0.281843 0.171897
1.02802 12.2 0.296801 0.174834
1.02802 12.25 0.311032 0.180936
1.02802 12.3 0.324661 0.1894
1.02802 12.35 0.337795 0.192653
1.02802 12.4 0.350527 0.199541
1.02802 12.45 0.362934 0.204706
1.02802 12.5 0.375082 0.211018
1.02802 12.55 0.387022 0.21927
1.02802 12.6 0.398797 0.22781
1.02802 12.65 0.41044 0.235561
1.02802 12.7 0.42198 0.243369
1.02802 12.75 0.433437 0.250245
1.02802 12.8 0.44483 0.258359
1.02802 12.85 0.45617 0.265399
1.02802 12.9 0.46747 0.274347
1.02802 12.95 0.478737 0.279817
1.02802 13 0.489979 0.290329
1.02802 13.05 0.501201 0.299758
1.02802 13.1 0.512407 0.312342
1.02802 13.15 0.5236 0.320999
1.02802 13.2 0.534783 0.325007
1.02802 13.25 0.545958 0.337141
1.02802 13.3 0.557128 0.343058
1.02802 13.35 0.568292 0.345708
1.02802 13.4 0.579452 0.356862
1.02802 13.45 0.590609 0.363606
1.02802 13.5 0.601764 0.370672
1.02802 13.55 0.612917 0.378859
1.02802 13.6 0.624068 0.388789
1.02802 13.65 0.635219 0.400391
1.02802 13.7 0.646368 0.408077
1.02802 13.75 0.657516 0.416063
1.02802 13.8 0.668664 0.424982
1.02802 13.85 0.679812 0.432822
1.02802 13.9 0.690959 0.444062
1.02802 13.95 0.702105 0.453494
1.02802 14 0.713252 0.462927
1.02802 14.05 0.724398 0.469373
1.02802 14.1 0.735544 0.477025
1.02802 14.15 0.74669 0.485992
1.02802 14.2 0.757836 0.497722
1.02802 14.25 0.768982 0.510131
1.02802 14.3 0.780128 0.522692
1.02802 14.35 0.791274 0.534808
1.02802 14.4 0.80242 0.546453
1.02802 14.45 0.813566 0.555199
1.02802 14.5 0.824711 0.565206
1.02802 14.55 0.835857 0.577493
1.02802 14.6 0.847003 0.58888
1.02802 14.65 0.858148 0.599371
1.02802 14.7 0.869294 0.610927
1.02802 14.75 0.88044 0.622482
1.02802 14.8 0.891585 0.634485
1.02802 14.85 0.902731 0.643816
1.02802 14.9 0.913877 0.653733
