#1+z Log10(Mass/Msun) Star-Forming-Fraction One-sigma-uncertainty
1.05682 10.75 0.816563 0.0433627
1.05682 10.8 0.809363 0.0418777
1.05682 10.85 0.801774 0.0408564
1.05682 10.9 0.793789 0.0392233
1.05682 10.95 0.785402 0.0382024
1.05682 11 0.77661 0.0368695
1.05682 11.05 0.767411 0.0359559
1.05682 11.1 0.757804 0.0348057
1.05682 11.15 0.747788 0.033613
1.05682 11.2 0.737367 0.0321719
1.05682 11.25 0.726543 0.0308523
1.05682 11.3 0.715322 0.0295953
1.05682 11.35 0.703711 0.0287269
1.05682 11.4 0.691719 0.0277601
1.05682 11.45 0.679356 0.0274577
1.05682 11.5 0.666635 0.0268568
1.05682 11.55 0.653568 0.0260254
1.05682 11.6 0.640173 0.0259212
1.05682 11.65 0.626465 0.026176
1.05682 11.7 0.612464 0.0266927
1.05682 11.75 0.598189 0.0277534
1.05682 11.8 0.583663 0.0290122
1.05682 11.85 0.568909 0.0305008
1.05682 11.9 0.55395 0.0326609
1.05682 11.95 0.538812 0.0347812
1.05682 12 0.523522 0.0376215
1.05682 12.05 0.508106 0.0398301
1.05682 12.1 0.492591 0.0414939
1.05682 12.15 0.477007 0.0445327
1.05682 12.2 0.461383 0.0479898
1.05682 12.25 0.445746 0.0511682
1.05682 12.3 0.430127 0.0547132
1.05682 12.35 0.414553 0.0580489
1.05682 12.4 0.399054 0.0617713
1.05682 12.45 0.383658 0.0649794
1.05682 12.5 0.368392 0.0682163
1.05682 12.55 0.353284 0.0707903
1.05682 12.6 0.338359 0.0736691
1.05682 12.65 0.323643 0.0753534
1.05682 12.7 0.30916 0.0769475
1.05682 12.75 0.294932 0.0785727
1.05682 12.8 0.280981 0.0803458
1.05682 12.85 0.267327 0.082308
1.05682 12.9 0.253988 0.0836113
1.05682 12.95 0.240981 0.0842143
1.05682 13 0.228322 0.0839989
1.05682 13.05 0.216023 0.0838561
1.05682 13.1 0.204098 0.0839478
1.05682 13.15 0.192555 0.083652
1.05682 13.2 0.181403 0.082956
1.05682 13.25 0.17065 0.0825309
1.05682 13.3 0.1603 0.0812784
1.05682 13.35 0.150356 0.0796332
1.05682 13.4 0.14082 0.0781818
1.05682 13.45 0.131693 0.0768118
1.05682 13.5 0.122973 0.0751368
1.05682 13.55 0.114657 0.0734191
1.05682 13.6 0.106742 0.0714898
1.05682 13.65 0.0992216 0.0693676
1.05682 13.7 0.0920898 0.0670935
1.05682 13.75 0.085339 0.064728
1.05682 13.8 0.0789608 0.0624899
1.05682 13.85 0.0729456 0.0601245
1.05682 13.9 0.0672835 0.0576921
1.05682 13.95 0.0619634 0.0554287
1.05682 14 0.0569742 0.0528637
1.05682 14.05 0.0523037 0.0504104
1.05682 14.1 0.0479399 0.0482865
1.05682 14.15 0.04387 0.0461967
1.05682 14.2 0.0400814 0.0440208
1.05682 14.25 0.0365612 0.0418345
1.05682 14.3 0.0332963 0.0396878
1.05682 14.35 0.0302739 0.037526
1.05682 14.4 0.0274812 0.0354236
1.05682 14.45 0.0249055 0.0334511
1.05682 14.5 0.0225343 0.0315453
1.05682 14.55 0.0203555 0.0296772
1.05682 14.6 0.0183571 0.0277545
1.05682 14.65 0.0165277 0.0259053
1.05682 14.7 0.0148559 0.0241458
1.05682 14.75 0.0133312 0.022475
1.05682 14.8 0.011943 0.0210085
1.05682 14.85 0.0106816 0.0196602
1.05682 14.9 0.00953749 0.0183776
1.05682 14.95 0.00850166 0.0171211
1.05682 15 0.00756562 0.0158804
1.0666 10 0.88886 0.0630148
