#Total_Obs_CSFR: total observed cosmic star formation rate (Msun/yr/Mpc^3)
#Total_Obs_CSFR_UV: total observed cosmic star formation rate (Msun/yr/Mpc^3) for galaxies with M_1500 < -17
#True_CSFR: total true cosmic star formation rate (Msun/yr/Mpc^3)
#Scale Total_Obs_CSFR Err+ Err- Total_Obs_CSFR_UV Err+ Err- True_CSFR Err+ Err-
0.736529 0.024616 0.0031148 0.000391008 0.0219806 0.00318706 0.000197924 0.0265636 0.010839 0.0038064
0.744123 0.0237827 0.00314156 0.000419422 0.0211476 0.00312209 0.000218291 0.0255369 0.0105691 0.00358472
0.751717 0.0229931 0.00302347 0.00042233 0.0203598 0.00303753 0.000132079 0.024626 0.0103253 0.0034108
0.75931 0.0222043 0.00291297 0.00038288 0.0195689 0.00292421 0.000173881 0.0237692 0.010034 0.0034408
0.766904 0.0215044 0.00273549 0.000342142 0.0188744 0.00283776 0.000213938 0.022948 0.00958096 0.00345393
0.774498 0.0208143 0.00260886 0.000319076 0.0181862 0.00269071 0.000212751 0.0222205 0.00931786 0.00333822
0.782092 0.0201963 0.00253224 0.000357749 0.017575 0.00260434 0.000251119 0.0215307 0.00880931 0.00326206
0.789685 0.0196111 0.00237796 0.000387486 0.0169956 0.00256062 0.000302177 0.0208731 0.00849501 0.00317337
0.797279 0.0189244 0.00226393 0.000315876 0.0163189 0.00248306 0.000314289 0.0202267 0.00816689 0.00309726
0.804873 0.0183313 0.00223538 0.000297202 0.0157312 0.0023214 0.000310904 0.0196272 0.00793593 0.0030232
0.812467 0.0177933 0.00219339 0.000301254 0.0152024 0.00211028 0.000315133 0.0190402 0.00762038 0.00299808
0.82006 0.0172627 0.00211713 0.000340326 0.0146774 0.00199512 0.000328314 0.0184881 0.00735656 0.00291018
0.827654 0.0167504 0.00198182 0.000386156 0.0141718 0.00189462 0.000364384 0.0179523 0.00707444 0.00285696
0.835248 0.0162572 0.00187227 0.000365647 0.0136855 0.00181565 0.000356801 0.0174453 0.00675114 0.00279547
0.842842 0.0157779 0.0017934 0.000401805 0.0132105 0.00172474 0.000355146 0.0169686 0.00658298 0.0027046
0.850435 0.0153667 0.001772 0.000374915 0.0128081 0.00176386 0.000442421 0.0165023 0.0063752 0.0026392
0.858029 0.0149224 0.00163531 0.000385232 0.0123699 0.00171095 0.000488714 0.0160413 0.00616103 0.00258106
0.865623 0.0145176 0.00161165 0.000418264 0.0119718 0.0016197 0.000532135 0.0156201 0.00597237 0.00250091
0.873217 0.0141218 0.00155799 0.000423253 0.0115766 0.00153822 0.000560822 0.0151882 0.00575282 0.00241325
0.88081 0.0137513 0.00156007 0.000435447 0.0112157 0.0015599 0.000604753 0.0148094 0.00556693 0.00240298
0.888404 0.0133853 0.00155229 0.000405948 0.0108533 0.0015802 0.000594224 0.0144182 0.00542302 0.00232353
0.895998 0.0130559 0.0015664 0.000441981 0.0105269 0.00158003 0.000640589 0.0140645 0.00528465 0.00226358
0.903592 0.0127469 0.00152427 0.000456818 0.0102222 0.00161798 0.000666361 0.0137315 0.00512963 0.00220571
0.911185 0.0124235 0.00153594 0.000476903 0.00990175 0.00163931 0.000642705 0.0133829 0.0050206 0.00214768
0.918779 0.012126 0.00155805 0.000472694 0.00961023 0.00155817 0.000722452 0.0130615 0.00489115 0.00210257
0.926373 0.0118511 0.00157967 0.000493863 0.00933895 0.00149342 0.000677976 0.0127551 0.00475069 0.00204614
0.933967 0.0115502 0.00156991 0.00049021 0.00904168 0.00155436 0.000690073 0.0124304 0.00455662 0.00197971
0.94156 0.0112554 0.0016147 0.000574599 0.00875146 0.0017329 0.000721811 0.0121216 0.00453401 0.00198031
0.949154 0.0109985 0.00164132 0.000615321 0.00849701 0.00172972 0.000773375 0.0118479 0.00439555 0.00200544
0.956748 0.0107759 0.00166269 0.000610016 0.00827375 0.00177884 0.00078304 0.0115933 0.00436778 0.00199484
0.964342 0.0105261 0.00166415 0.000601785 0.00803161 0.00178883 0.000842477 0.01132 0.00432918 0.00203071
0.971935 0.0103005 0.00164452 0.000636745 0.00780399 0.00181261 0.000848756 0.0110801 0.00439643 0.00198632
0.979529 0.0100667 0.00170714 0.000681706 0.00757389 0.0018542 0.0009059 0.0108292 0.00431474 0.00199049
0.987123 0.00985717 0.0017765 0.000712966 0.00736605 0.00187619 0.00098644 0.0105897 0.00409817 0.00199461
0.994717 0.00962102 0.00189197 0.000747551 0.00713417 0.00189524 0.00102548 0.0103357 0.00397055 0.0019891
1.00231 0.00939148 0.00194152 0.0008285 0.00571359 0.00197688 0.00127671 0.0100801 0.00385525 0.00203883
