#Model: 0.104160800000 1.830857660000 -0.278375930000 2.482630900000 2.060239220000 0.322896640000 -0.099136200000 0.696256730000 -6.783021920000 -0.740212860000 -0.243005030000 2.357406780000 -0.670161000000 0.032409440000 0.705463040000 0.078203160000 -1.313028390000 3.345707840000 -0.969087940000 -0.340795970000 1.677667720000 0.422031030000 3.105399340000 0.361458860000 2.955837030000 -0.110232830000 4.023850140000 2.321001140000 -0.161718440000 0.208850790000 0.446655700000 -1.141828020000 1.067118400000 0.102460660000 -0.229540280000 0.209918420000 0.070000000000 0.040711970000 -0.160329600000 -0.125858630000 0.332955620000 8.977376730000 -0.043766440000 0.426113490000 0.600463510000 0 356.934366097907
#Type Subtype Z1 Z2 step1 step2 SM1 SM2 smb1 smb2 R1 R2 Val Err_h Err_l Model_Val MV+ MV- Chi2 Chi2+ Chi2-
qf_uvj a 2.000000 2.500000 56 66 10.500000 10.600000 70 72 0.000000 0.000000 2.460000e-01 0.067742 0.079630 1.934318e-01 2.855179e-02 1.447922e-02 1.844416e-01 0.000000e+00 0.000000e+00
ssfr a 0.800000 1.000000 99 110 10.200000 10.500000 64 70 0.000000 0.000000 -9.328811e+00 0.280179 0.280179 -9.235931e+00 3.453096e-02 1.172794e-02 6.766088e-02 0.000000e+00 0.000000e+00
ssfr a 0.800000 1.000000 99 110 10.500000 10.800000 70 76 0.000000 0.000000 -9.553640e+00 0.280179 0.280179 -9.467025e+00 2.406676e-02 2.950228e-02 5.652894e-02 0.000000e+00 0.000000e+00
ssfr a 0.800000 1.000000 99 110 10.800000 11.100000 76 82 0.000000 0.000000 -9.754664e+00 0.280179 0.280179 -9.765310e+00 2.858437e-02 6.346736e-02 0.000000e+00 0.000000e+00 0.000000e+00
ssfr a 0.800000 1.000000 99 110 11.100000 12.000000 82 100 0.000000 0.000000 -9.928158e+00 0.280179 0.280179 -1.019505e+01 6.413417e-02 1.241521e-01 7.764850e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 9.200000 9.300000 44 46 0.000000 0.000000 -2.024313e+00 0.093056 0.086622 -1.999107e+00 1.399372e-02 2.039290e-03 3.351860e-03 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 9.300000 9.400000 46 48 0.000000 0.000000 -2.077662e+00 0.068537 0.063733 -2.035289e+00 1.485446e-02 1.496882e-03 1.119734e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 9.400000 9.500000 48 50 0.000000 0.000000 -2.080746e+00 0.042136 0.038803 -2.068306e+00 1.549597e-02 1.937187e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 9.500000 9.600000 50 52 0.000000 0.000000 -2.103956e+00 0.040097 0.038350 -2.101219e+00 1.623715e-02 2.469023e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 9.600000 9.700000 52 54 0.000000 0.000000 -2.158301e+00 0.035941 0.040678 -2.131347e+00 1.475943e-02 2.364922e-03 3.396475e-02 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 9.700000 9.800000 54 56 0.000000 0.000000 -2.186296e+00 0.036468 0.037245 -2.161539e+00 1.583209e-02 1.246184e-03 1.670500e-02 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 9.800000 9.900000 56 58 0.000000 0.000000 -2.194845e+00 0.040651 0.041686 -2.190410e+00 1.662570e-02 -1.397160e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 9.900000 10.000000 58 60 0.000000 0.000000 -2.238213e+00 0.042897 0.039930 -2.211293e+00 1.403065e-02 1.127463e-04 2.766188e-02 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 10.000000 10.100000 60 62 0.000000 0.000000 -2.284284e+00 0.046266 0.046898 -2.232395e+00 1.304900e-02 1.551505e-03 4.730780e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 10.100000 10.200000 62 64 0.000000 0.000000 -2.289352e+00 0.052510 0.049566 -2.256380e+00 1.479102e-02 1.391678e-03 6.376756e-02 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 10.200000 10.300000 64 66 0.000000 0.000000 -2.329917e+00 0.038918 0.041337 -2.278394e+00 1.309650e-02 2.977418e-03 6.486017e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 10.300000 10.400000 66 68 0.000000 0.000000 -2.357127e+00 0.045618 0.046961 -2.300668e+00 1.475126e-02 3.973192e-03 6.350650e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 10.400000 10.500000 68 70 0.000000 0.000000 -2.388184e+00 0.070238 0.065551 -2.328660e+00 1.498720e-02 3.991877e-03 3.264427e-01 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 10.500000 10.600000 70 72 0.000000 0.000000 -2.407498e+00 0.073924 0.078657 -2.369534e+00 2.366696e-02 2.262927e-03 5.637346e-02 0.000000e+00 0.000000e+00
