#Peak halo mass range: 9.875 < log10(Mh/Msun) < 10.125
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
0.334060 3.5565e-06 0.0292125 8.20066e-07 8.40956e-06 0.0385499 1.14382e-06 2.53058e+06 475649
0.328997 3.16133e-06 0.028995 1.262e-06 1.0512e-05 0.0381592 5.29875e-06 2.53058e+06 475649
0.323935 1.1855e-06 0.0285922 -9.16842e-08 6.30717e-06 0.0385792 2.13661e-06 2.53058e+06 475649
0.318873 3.16133e-06 0.0280894 1.54728e-06 6.30717e-06 0.0387195 3.25748e-06 2.53058e+06 475649
0.313810 1.58066e-06 0.0275739 -7.38796e-08 2.10239e-06 0.0393261 -1.10518e-07 2.53058e+06 475649
0.308748 1.97583e-06 0.0272372 3.21287e-07 6.30717e-06 0.0390165 3.22215e-06 2.53058e+06 475649
0.303685 3.95166e-07 0.0267372 -4.28231e-07 4.20478e-06 0.0390523 1.15509e-06 2.53058e+06 475649
0.298623 7.90332e-07 0.026228 -3.27345e-07 6.30717e-06 0.0391477 2.98223e-06 2.53058e+06 475649
0.293560 7.90332e-07 0.0255569 -7.48992e-08 6.30717e-06 0.0382278 3.0116e-06 2.53058e+06 475649
0.288498 1.97583e-06 0.0252463 1.19992e-06 1.0512e-05 0.0378425 6.68282e-06 2.53058e+06 475649
0.283435 2.76616e-06 0.0244056 1.90093e-06 1.26143e-05 0.0366522 9.31877e-06 2.53058e+06 475649
0.278373 4.34683e-06 0.023779 3.93003e-06 8.40956e-06 0.0355459 6.95058e-06 2.53058e+06 475649
0.273310 3.5565e-06 0.022557 3.5565e-06 1.0512e-05 0.0342818 8.56717e-06 2.53058e+06 475649
0.268248 4.74199e-06 0.0216904 4.74199e-06 1.47167e-05 0.0330647 1.2772e-05 2.53058e+06 475649
0.263185 6.71782e-06 0.019788 6.33415e-06 2.31263e-05 0.0308742 2.08789e-05 2.53058e+06 475649
0.258123 1.02743e-05 0.0188229 9.84605e-06 3.99454e-05 0.029672 3.99454e-05 2.53058e+06 475649
0.253060 1.34356e-05 0.0188208 1.25847e-05 3.36383e-05 0.0297235 3.21173e-05 2.53058e+06 475649
0.247998 1.73873e-05 0.0176583 1.66214e-05 3.7843e-05 0.0286934 3.63421e-05 2.53058e+06 475649
0.242935 2.01535e-05 0.0162065 1.85131e-05 5.88669e-05 0.0264046 5.45538e-05 2.53058e+06 475649
0.237873 2.45003e-05 0.0148226 2.3546e-05 6.51741e-05 0.0244831 6.31557e-05 2.53058e+06 475649
0.232810 3.0823e-05 0.0135288 2.95631e-05 0.000113529 0.0224519 0.000110368 2.53058e+06 475649
0.227748 3.59601e-05 0.012375 3.51635e-05 9.88124e-05 0.0211509 9.56123e-05 2.53058e+06 475649
0.222685 4.50489e-05 0.0113963 4.34757e-05 0.000121939 0.0198607 0.00012048 2.53058e+06 475649
0.217623 4.82103e-05 0.00985235 4.66031e-05 0.000128246 0.0174748 0.000125713 2.53058e+06 475649
0.212560 6.87589e-05 0.00903636 6.56123e-05 0.000134553 0.016078 0.000131222 2.53058e+06 475649
0.207498 6.63879e-05 0.0080202 6.18154e-05 0.000157679 0.0146515 0.000153963 2.53058e+06 475649
0.202435 7.35009e-05 0.00714785 7.01754e-05 0.000151372 0.0133749 0.000148075 2.53058e+06 475649
0.197373 7.35009e-05 0.00615095 7.04373e-05 0.000153475 0.0119818 0.000148409 2.53058e+06 475649
0.192310 7.23154e-05 0.00523813 6.89756e-05 0.000163986 0.0106067 0.00015566 2.53058e+06 475649
0.187248 8.41704e-05 0.00462583 8.11068e-05 0.000178703 0.00941746 0.000174595 2.53058e+06 475649
0.182185 8.17994e-05 0.00388407 7.91188e-05 0.00019342 0.00826422 0.000189312 2.53058e+06 475649
0.177123 7.19202e-05 0.00276731 6.92396e-05 0.000161884 0.00641094 0.000156888 2.53058e+06 475649
0.172060 6.40169e-05 0.0022022 6.15121e-05 0.00014927 0.00521956 0.000141671 2.53058e+06 475649
0.166998 6.32266e-05 0.00200283 5.90142e-05 0.000161884 0.00485611 0.000154152 2.53058e+06 475649
0.161935 4.78151e-05 0.0013602 4.51345e-05 0.000124041 0.00343214 0.000114049 2.53058e+06 475649
0.156873 4.90006e-05 0.0010301 4.5937e-05 0.000128246 0.00278823 0.00012003 2.53058e+06 475649
0.151810 3.91215e-05 0.000792077 3.64408e-05 0.000109324 0.00199788 0.000104658 2.53058e+06 475649
0.146748 3.3194e-05 0.00055621 3.08963e-05 7.98908e-05 0.00150836 7.98908e-05 2.53058e+06 475649
0.141685 2.80568e-05 0.000393626 2.6772e-05 5.88669e-05 0.00100472 5.6334e-05 2.53058e+06 475649
0.136623 2.48955e-05 0.000290931 2.252e-05 5.25598e-05 0.00080287 5.09225e-05 2.53058e+06 475649
0.133248 1.77825e-05 0.000246309 1.77825e-05 3.57406e-05 0.000632833 3.24439e-05 2.53058e+06 475649
0.129873 1.6597e-05 0.000181647 1.5487e-05 4.41502e-05 0.000504878 3.96473e-05 2.53058e+06 475649
0.126498 1.38308e-05 0.000128518 1.30035e-05 4.20478e-05 0.000364643 3.7622e-05 2.53058e+06 475649
0.123123 7.50816e-06 7.15348e-05 6.33955e-06 2.31263e-05 0.000239116 2.31263e-05 2.53058e+06 475649
0.119748 5.13716e-06 4.73356e-05 4.40647e-06 2.52287e-05 0.000130759 2.52287e-05 2.53058e+06 475649
0.116373 3.95166e-06 3.7744e-05 3.58168e-06 6.30717e-06 0.000112445 6.30717e-06 2.53058e+06 475649
0.112998 1.97583e-06 2.01946e-05 1.97583e-06 1.0512e-05 7.35043e-05 1.0512e-05 2.53058e+06 475649
0.109623 1.58066e-06 1.30219e-05 1.21068e-06 6.30717e-06 4.94028e-05 6.30717e-06 2.53058e+06 475649
0.106248 7.90332e-07 7.15756e-06 7.90332e-07 0 2.29219e-05 0 2.53058e+06 475649
0.102873 1.58066e-06 5.25969e-06 1.58066e-06 0 2.45833e-05 0 2.53058e+06 475649
0.099498 0 3.34651e-06 0 0 6.70452e-06 0 2.53058e+06 475649
0.096123 0 1.52204e-06 0 0 4.45149e-06 0 2.53058e+06 475649
0.092748 0 7.58103e-07 0 2.10239e-06 5.90421e-07 2.10239e-06 2.53058e+06 475649
0.089373 0 0 0 2.10239e-06 6.18098e-07 2.10239e-06 2.53058e+06 475649
0.085998 0 0 0 2.10239e-06 5.88899e-07 2.10239e-06 2.53058e+06 475649
0.082623 0 0 0 0 0 0 2.53058e+06 475649
0.080373 0 0 0 0 0 0 2.53058e+06 475649
0.078123 0 0 0 0 0 0 2.53058e+06 475649
0.075873 0 0 0 0 0 0 2.53058e+06 475649
0.073623 0 0 0 0 0 0 2.53058e+06 475649
0.071373 0 0 0 0 0 0 2.53058e+06 475649
0.069123 0 0 0 0 0 0 2.53058e+06 475649
0.066873 0 0 0 0 0 0 2.53058e+06 475649
0.064623 0 0 0 0 0 0 2.53058e+06 475649
0.062373 0 0 0 0 0 0 2.53058e+06 475649
0.060123 0 0 0 0 0 0 2.53058e+06 475649
0.055623 0 0 0 0 0 0 2.53058e+06 475649
