#Observed stellar mass range: 7.6 < log10(M*/Msun) < 7.8
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
0.288498 4.45569e-06 0.0289126 -1.97444e-06 5.22958e-05 0.0339695 4.12024e-05 448864 95610
0.283435 2.22785e-06 0.0297983 -3.31897e-06 5.22958e-05 0.0346645 3.96532e-05 448864 95610
0.278373 1.11392e-05 0.0300747 6.84171e-06 6.27549e-05 0.0353903 5.03795e-05 448864 95610
0.273310 8.91139e-06 0.0308925 4.70758e-06 5.22958e-05 0.0346962 3.99203e-05 448864 95610
0.268248 1.33671e-05 0.0316742 8.98576e-06 9.41324e-05 0.0348491 8.32488e-05 448864 95610
0.263185 2.45063e-05 0.0328106 1.84302e-05 7.32141e-05 0.0364059 6.266e-05 448864 95610
0.258123 4.67848e-05 0.0331194 4.00058e-05 8.36733e-05 0.0372777 7.56449e-05 448864 95610
0.253060 4.67848e-05 0.0334157 4.06949e-05 9.41324e-05 0.0383361 8.49505e-05 448864 95610
0.247998 6.46075e-05 0.0364458 5.77893e-05 0.000104592 0.0400671 9.54097e-05 448864 95610
0.242935 8.02025e-05 0.0374434 7.43292e-05 0.000209183 0.0411933 0.000186996 448864 95610
0.237873 0.000124759 0.0388002 0.000117784 0.00025102 0.0431389 0.000236588 448864 95610
0.232810 0.000176 0.0397482 0.000170768 0.000303316 0.0447353 0.000290262 448864 95610
0.227748 0.000256202 0.0395933 0.00024451 0.000449744 0.044275 0.000434487 448864 95610
0.222685 0.000347544 0.0402637 0.000331272 0.000418366 0.0456168 0.000406399 448864 95610
0.217623 0.000401012 0.0398783 0.000384643 0.00049158 0.0473106 0.000455296 448864 95610
0.212560 0.000507949 0.0403424 0.000496257 0.000606631 0.0478805 0.000575365 448864 95610
0.207498 0.00051686 0.0407261 0.000500204 0.000679845 0.0491055 0.000656777 448864 95610
0.202435 0.000746329 0.0410891 0.000715977 0.00099362 0.04919 0.000957718 448864 95610
0.197373 0.000891139 0.0405707 0.000864581 0.00106683 0.0480182 0.00101647 448864 95610
0.192310 0.000989164 0.0391472 0.000949327 0.00130739 0.0482 0.00126962 448864 95610
0.187248 0.00101144 0.0373969 0.000984098 0.00121326 0.0458096 0.00116796 448864 95610
0.182185 0.00105823 0.0347102 0.00102632 0.00131785 0.0437287 0.00127256 448864 95610
0.177123 0.00106268 0.0298905 0.00102394 0.00152704 0.0393143 0.00144154 448864 95610
0.172060 0.000993619 0.0264254 0.000948092 0.00177806 0.0346901 0.0017151 448864 95610
0.166998 0.000995847 0.0243987 0.000938879 0.00164209 0.0337915 0.00155502 448864 95610
0.161935 0.000904506 0.0197109 0.000858978 0.00160025 0.0289239 0.00148491 448864 95610
0.156873 0.000851037 0.0166904 0.000799819 0.0014329 0.0249694 0.00133373 448864 95610
0.151810 0.000773063 0.0140857 0.000739811 0.00132831 0.0216655 0.00125594 448864 95610
