#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM   Stats: 3.011760e+14 (median) + 2.055890e+14  / - 1.198520e+14
#SM   Stats: 3.629570e+11 (median) + 3.100210e+11  / - 2.356420e+11
#VMP  Stats: 8.801600e+02 (median) + 2.521401e+02  / - 7.417999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.617667e-11 (median) + 4.775797e-11  / - 5.742535e-12
sfh 0.683373 7.25109 10.5094 4.64876 #avg: 8.00347; avg_err: 2.0884; sd: 4.6698; counts: 6
sfh 0.690967 6.8733 8.201 1.28053 #avg: 8.05369; avg_err: 1.44705; sd: 3.23571; counts: 6
sfh 0.69856 7.78465 12.5076 2.36504 #avg: 9.25175; avg_err: 2.24254; sd: 5.01448; counts: 6
sfh 0.706154 6.97517 6.04173 3.17541 #avg: 7.25626; avg_err: 1.34567; sd: 3.00901; counts: 6
sfh 0.713748 6.77046 7.46654 4.92777 #avg: 6.84458; avg_err: 1.83893; sd: 4.11198; counts: 6
sfh 0.721342 8.91111 7.36009 6.83716 #avg: 7.2035; avg_err: 2.18879; sd: 4.89428; counts: 6
sfh 0.728935 5.06797 2.80916 3.29136 #avg: 4.90103; avg_err: 1.02278; sd: 2.287; counts: 6
sfh 0.736529 5.68015 7.28505 5.02466 #avg: 5.98221; avg_err: 1.73145; sd: 3.87163; counts: 6
sfh 0.744123 6.52427 3.08625 5.86754 #avg: 4.97497; avg_err: 1.36758; sd: 3.05799; counts: 6
sfh 0.751717 5.62817 1.76112 4.91542 #avg: 4.13428; avg_err: 1.06503; sd: 2.38149; counts: 6
sfh 0.75931 6.52377 10.502 5.40804 #avg: 6.2262; avg_err: 2.37093; sd: 5.30156; counts: 6
sfh 0.766904 6.2831 1.55163 5.39135 #avg: 4.89548; avg_err: 1.1457; sd: 2.56187; counts: 6
sfh 0.774498 6.00889 3.7046 5.22343 #avg: 4.91701; avg_err: 1.33064; sd: 2.97541; counts: 6
sfh 0.782092 8.04919 3.58081 7.02491 #avg: 6.36174; avg_err: 1.91161; sd: 4.2745; counts: 6
sfh 0.789685 6.91674 7.60646 5.86392 #avg: 6.632; avg_err: 2.1962; sd: 4.91084; counts: 6
sfh 0.797279 9.38441 2.63969 8.40193 #avg: 6.67644; avg_err: 1.90003; sd: 4.24859; counts: 6
sfh 0.804873 5.19486 4.86954 4.59068 #avg: 5.39654; avg_err: 1.57706; sd: 3.52641; counts: 6
sfh 0.812467 5.88353 4.71847 5.38761 #avg: 5.33789; avg_err: 1.49072; sd: 3.33336; counts: 6
sfh 0.82006 6.27961 11.0509 5.60278 #avg: 5.95495; avg_err: 2.46307; sd: 5.50759; counts: 6
sfh 0.827654 7.54268 2.95092 6.5591 #avg: 5.70248; avg_err: 1.52142; sd: 3.40201; counts: 6
sfh 0.835248 4.48616 5.51534 3.58037 #avg: 4.68255; avg_err: 1.27551; sd: 2.85212; counts: 6
sfh 0.842842 5.51933 5.02647 4.79967 #avg: 5.63034; avg_err: 1.51681; sd: 3.3917; counts: 6
sfh 0.850435 3.73631 5.70816 3.21646 #avg: 3.8866; avg_err: 1.26373; sd: 2.82579; counts: 6
sfh 0.858029 2.57699 3.87572 1.96296 #avg: 3.08036; avg_err: 0.922589; sd: 2.06297; counts: 6
sfh 0.865623 2.2439 9.526 1.12833 #avg: 4.08712; avg_err: 1.64484; sd: 3.67798; counts: 6
sfh 0.873217 4.50494 7.19826 3.90957 #avg: 4.92515; avg_err: 1.63028; sd: 3.64541; counts: 6
sfh 0.88081 3.03465 12.1746 1.29504 #avg: 5.18524; avg_err: 2.18941; sd: 4.89568; counts: 6
sfh 0.888404 1.87832 3.63926 0.87326 #avg: 2.54334; avg_err: 0.790592; sd: 1.76782; counts: 6
sfh 0.895998 3.22191 6.44003 2.70962 #avg: 3.91789; avg_err: 1.46101; sd: 3.26691; counts: 6
sfh 0.903592 4.36144 5.87556 3.83662 #avg: 4.18919; avg_err: 1.53021; sd: 3.42166; counts: 6
sfh 0.911185 4.33868 6.10562 3.7912 #avg: 3.9954; avg_err: 1.45609; sd: 3.25591; counts: 6
sfh 0.918779 6.51236 4.20214 4.89401 #avg: 5.19678; avg_err: 1.6503; sd: 3.69019; counts: 6
sfh 0.926373 7.51165 7.87485 6.27342 #avg: 5.8348; avg_err: 2.30704; sd: 5.1587; counts: 6
sfh 0.933967 4.87931 4.45902 3.27171 #avg: 4.54023; avg_err: 1.27001; sd: 2.83984; counts: 6
sfh 0.94156 5.24681 3.85036 3.41691 #avg: 5.07862; avg_err: 1.15983; sd: 2.59347; counts: 6
sfh 0.949154 6.77953 0.33217 4.98474 #avg: 4.86307; avg_err: 1.00277; sd: 2.24226; counts: 6
sfh 0.956748 5.60344 3.80156 3.92622 #avg: 5.18371; avg_err: 1.22624; sd: 2.74195; counts: 6
sfh 0.964342 7.90425 0.3271 4.63331 #avg: 6.07413; avg_err: 0.942286; sd: 2.10702; counts: 6
sfh 0.971935 6.53865 7.05355 3.40251 #avg: 7.02785; avg_err: 1.44874; sd: 3.23949; counts: 6
sfh 0.979529 7.11363 2.2214 3.15313 #avg: 6.40745; avg_err: 0.771475; sd: 1.72507; counts: 6
sfh 0.987123 5.78981 1.29269 1.6846 #avg: 5.46551; avg_err: 0.523042; sd: 1.16956; counts: 6
sfh 0.994717 5.52028 5.16582 2.5771 #avg: 5.78704; avg_err: 1.05684; sd: 2.36317; counts: 6
sfh 1.00231 6.78072 1.50623 2.94256 #avg: 6.10106; avg_err: 0.714686; sd: 1.59809; counts: 6
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.082623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.085998 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.089373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.092748 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.096123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.099498 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.102873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.106248 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.109623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.112998 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.116373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.119748 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.123123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.126498 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.129873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.133248 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.136623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.141685 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.146748 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
iclh 0.15181 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6
