#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.75 - 10.25
#HM   Stats: 6.297060e+11 (median) + 3.001470e+11  / - 1.942650e+11
#SM   Stats: 9.151870e+09 (median) + 4.939031e+09  / - 2.677170e+09
#VMP  Stats: 1.857600e+02 (median) + 2.345001e+01  / - 1.767999e+01
#ICL  Stats: 6.397690e+07 (median) + 1.954911e+08  / - 5.302450e+07
#SSFR Stats: 2.024182e-09 (median) + 3.052361e-09  / - 1.299427e-09
iclh 0.263185 0.00819561 0.0627713 0.00819561 #avg: 0.079071; avg_err: 0.00663471; sd: 1.70489; counts: 66032
iclh 0.268248 0.00670149 0.0565221 0.00670149 #avg: 0.0808393; avg_err: 0.0107524; sd: 2.76299; counts: 66032
iclh 0.27331 0.0052945 0.0500636 0.0052945 #avg: 0.082294; avg_err: 0.0160919; sd: 4.13506; counts: 66032
iclh 0.278373 0.00410655 0.0435613 0.00410655 #avg: 0.0745152; avg_err: 0.014749; sd: 3.78997; counts: 66032
iclh 0.283435 0.00305423 0.0374454 0.00305423 #avg: 0.0639696; avg_err: 0.00975939; sd: 2.50782; counts: 66032
iclh 0.288498 0.00216747 0.0315738 0.00216747 #avg: 0.0533499; avg_err: 0.0052372; sd: 1.34578; counts: 66032
iclh 0.29356 0.00146857 0.0262944 0.00146857 #avg: 0.0424904; avg_err: 0.00253789; sd: 0.65215; counts: 66032
iclh 0.298623 0.000912735 0.0209736 0.000912735 #avg: 0.037195; avg_err: 0.00238567; sd: 0.613035; counts: 66032
iclh 0.303685 0.000497269 0.0159435 0.000497269 #avg: 0.0313355; avg_err: 0.00224836; sd: 0.577749; counts: 66032
iclh 0.308748 0.000222846 0.0109405 0.000222846 #avg: 0.027326; avg_err: 0.00251195; sd: 0.645483; counts: 66032
