#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 14.25 - 14.75
#HM   Stats: 3.011760e+14 (median) + 2.055890e+14  / - 1.198520e+14
#SM   Stats: 3.629570e+11 (median) + 3.100210e+11  / - 2.356420e+11
#VMP  Stats: 8.801600e+02 (median) + 2.521401e+02  / - 7.417999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.617667e-11 (median) + 4.775797e-11  / - 5.742535e-12
sfh 0.41506 1.02952e-10 7.17756e-11 8.50048e-11 #avg: 9.56911e-11; avg_err: 2.51848e-11; sd: 5.63149e-11; counts: 6
sfh 0.420122 5.3212e-11 1.06632e-10 3.8095e-11 #avg: 7.20646e-11; avg_err: 2.41307e-11; sd: 5.39579e-11; counts: 6
sfh 0.425185 5.61137e-11 1.84645e-10 4.35097e-11 #avg: 7.90955e-11; avg_err: 3.60978e-11; sd: 8.07171e-11; counts: 6
sfh 0.430247 6.22679e-11 2.61922e-10 5.31388e-11 #avg: 9.33887e-11; avg_err: 4.91303e-11; sd: 1.09859e-10; counts: 6
sfh 0.43531 6.30744e-11 2.72693e-10 5.3622e-11 #avg: 1.0243e-10; avg_err: 4.93437e-11; sd: 1.10336e-10; counts: 6
sfh 0.440372 5.98461e-11 2.23262e-10 5.069e-11 #avg: 8.35364e-11; avg_err: 4.24529e-11; sd: 9.49277e-11; counts: 6
sfh 0.445435 5.74286e-11 2.26024e-10 4.79515e-11 #avg: 8.47091e-11; avg_err: 4.0794e-11; sd: 9.12182e-11; counts: 6
sfh 0.450497 7.11921e-11 2.36533e-10 6.13691e-11 #avg: 9.04751e-11; avg_err: 4.4624e-11; sd: 9.97823e-11; counts: 6
sfh 0.45556 6.37869e-11 2.851e-10 5.28736e-11 #avg: 9.74834e-11; avg_err: 5.12572e-11; sd: 1.14614e-10; counts: 6
sfh 0.460622 5.86764e-11 2.87001e-10 4.74445e-11 #avg: 9.29115e-11; avg_err: 5.11374e-11; sd: 1.14347e-10; counts: 6
sfh 0.465685 5.55003e-11 2.05596e-10 4.23103e-11 #avg: 7.79245e-11; avg_err: 3.72986e-11; sd: 8.34022e-11; counts: 6
sfh 0.470747 5.14519e-11 2.14785e-10 3.74048e-11 #avg: 7.39617e-11; avg_err: 3.91272e-11; sd: 8.7491e-11; counts: 6
sfh 0.47581 3.98779e-11 1.82586e-10 2.60131e-11 #avg: 6.38426e-11; avg_err: 3.21628e-11; sd: 7.19182e-11; counts: 6
sfh 0.480872 5.5136e-11 1.4463e-10 3.89964e-11 #avg: 6.4902e-11; avg_err: 2.7945e-11; sd: 6.24869e-11; counts: 6
sfh 0.485935 4.15088e-11 5.07055e-11 2.4463e-11 #avg: 4.40807e-11; avg_err: 1.12135e-11; sd: 2.50741e-11; counts: 6
sfh 0.490997 4.08769e-11 6.51241e-11 2.28333e-11 #avg: 4.63524e-11; avg_err: 1.3284e-11; sd: 2.9704e-11; counts: 6
sfh 0.49606 4.97624e-11 7.19085e-11 3.4062e-11 #avg: 4.97001e-11; avg_err: 1.54881e-11; sd: 3.46325e-11; counts: 6
sfh 0.501122 4.75955e-11 9.64786e-11 3.24773e-11 #avg: 5.45151e-11; avg_err: 1.89525e-11; sd: 4.2379e-11; counts: 6
sfh 0.506185 5.17787e-11 6.33878e-11 3.721e-11 #avg: 5.25257e-11; avg_err: 1.48041e-11; sd: 3.31031e-11; counts: 6
sfh 0.511247 4.94196e-11 4.05172e-11 3.62344e-11 #avg: 4.75398e-11; avg_err: 1.18358e-11; sd: 2.64656e-11; counts: 6
sfh 0.51631 4.8811e-11 5.72283e-11 3.67832e-11 #avg: 5.01503e-11; avg_err: 1.37708e-11; sd: 3.07925e-11; counts: 6
sfh 0.521372 5.41647e-11 2.01824e-11 4.26912e-11 #avg: 4.3669e-11; avg_err: 9.56598e-12; sd: 2.13902e-11; counts: 6
sfh 0.526435 4.66474e-11 4.38401e-11 3.64158e-11 #avg: 4.41199e-11; avg_err: 1.15808e-11; sd: 2.58955e-11; counts: 6
sfh 0.531497 4.59606e-11 6.37036e-11 3.55678e-11 #avg: 4.43577e-11; avg_err: 1.43975e-11; sd: 3.21938e-11; counts: 6
sfh 0.53656 5.04848e-11 4.98084e-11 3.92378e-11 #avg: 5.00107e-11; avg_err: 1.33567e-11; sd: 2.98666e-11; counts: 6
sfh 0.541622 5.22484e-11 5.68433e-11 4.07902e-11 #avg: 5.14258e-11; avg_err: 1.42376e-11; sd: 3.18362e-11; counts: 6
sfh 0.546685 5.25405e-11 5.63098e-11 4.30872e-11 #avg: 4.91862e-11; avg_err: 1.42682e-11; sd: 3.19047e-11; counts: 6
sfh 0.551747 4.61924e-11 6.44262e-11 3.81184e-11 #avg: 4.24966e-11; avg_err: 1.59471e-11; sd: 3.56588e-11; counts: 6
sfh 0.55681 4.59699e-11 6.63627e-11 4.08177e-11 #avg: 4.10316e-11; avg_err: 1.61495e-11; sd: 3.61113e-11; counts: 6
sfh 0.561872 4.75458e-11 4.97001e-11 4.343e-11 #avg: 4.0171e-11; avg_err: 1.38595e-11; sd: 3.09907e-11; counts: 6
sfh 0.566935 4.49567e-11 2.42313e-11 4.04085e-11 #avg: 3.74232e-11; avg_err: 9.49793e-12; sd: 2.1238e-11; counts: 6
sfh 0.571997 4.34048e-11 1.6651e-11 3.88386e-11 #avg: 3.59145e-11; avg_err: 8.53536e-12; sd: 1.90856e-11; counts: 6
sfh 0.57706 4.26399e-11 1.77304e-11 3.81508e-11 #avg: 3.41729e-11; avg_err: 8.54584e-12; sd: 1.91091e-11; counts: 6
sfh 0.582123 4.12764e-11 1.64847e-11 3.61388e-11 #avg: 3.48245e-11; avg_err: 7.57639e-12; sd: 1.69413e-11; counts: 6
sfh 0.587185 3.91557e-11 1.50632e-11 3.36846e-11 #avg: 3.41528e-11; avg_err: 7.08792e-12; sd: 1.58491e-11; counts: 6
sfh 0.592248 3.91832e-11 1.3776e-11 3.37824e-11 #avg: 3.44494e-11; avg_err: 7.30462e-12; sd: 1.63336e-11; counts: 6
sfh 0.59731 5.01096e-11 1.95007e-12 4.45188e-11 #avg: 3.65085e-11; avg_err: 7.6961e-12; sd: 1.7209e-11; counts: 6
sfh 0.602373 4.97051e-11 1.59989e-11 4.41223e-11 #avg: 3.97805e-11; avg_err: 9.1016e-12; sd: 2.03518e-11; counts: 6
sfh 0.607435 4.8174e-11 3.92726e-11 4.32677e-11 #avg: 4.37852e-11; avg_err: 1.1828e-11; sd: 2.64481e-11; counts: 6
sfh 0.612498 5.88003e-11 2.35719e-11 5.38268e-11 #avg: 4.46295e-11; avg_err: 1.14797e-11; sd: 2.56693e-11; counts: 6
sfh 0.61756 5.87935e-11 1.55408e-11 5.38148e-11 #avg: 4.28299e-11; avg_err: 1.06018e-11; sd: 2.37064e-11; counts: 6
sfh 0.622623 5.03831e-11 2.09197e-11 4.5285e-11 #avg: 4.02413e-11; avg_err: 9.80976e-12; sd: 2.19353e-11; counts: 6
sfh 0.627685 5.02371e-11 2.03809e-11 4.56456e-11 #avg: 4.11848e-11; avg_err: 9.97279e-12; sd: 2.22998e-11; counts: 6
sfh 0.632748 5.08099e-11 2.66298e-11 4.56174e-11 #avg: 4.30971e-11; avg_err: 1.08468e-11; sd: 2.42543e-11; counts: 6
sfh 0.63781 3.6164e-11 2.86187e-11 3.07653e-11 #avg: 3.82109e-11; avg_err: 8.99335e-12; sd: 2.01097e-11; counts: 6
sfh 0.642873 3.50493e-11 2.01296e-11 3.06223e-11 #avg: 3.08852e-11; avg_err: 6.72276e-12; sd: 1.50325e-11; counts: 6
sfh 0.647935 3.13458e-11 2.22147e-11 2.60395e-11 #avg: 2.91802e-11; avg_err: 6.43853e-12; sd: 1.4397e-11; counts: 6
sfh 0.652998 2.45331e-11 2.56192e-11 1.94694e-11 #avg: 2.53404e-11; avg_err: 6.13784e-12; sd: 1.37246e-11; counts: 6
sfh 0.65806 2.76996e-11 9.67029e-11 2.17204e-11 #avg: 3.73612e-11; avg_err: 1.77543e-11; sd: 3.96997e-11; counts: 6
sfh 0.663123 2.21214e-11 2.91425e-11 1.35174e-11 #avg: 2.30258e-11; avg_err: 6.04548e-12; sd: 1.35181e-11; counts: 6
sfh 0.668185 2.20797e-11 2.87478e-11 1.56213e-11 #avg: 2.18464e-11; avg_err: 6.27497e-12; sd: 1.40313e-11; counts: 6
sfh 0.673248 2.89488e-11 7.8702e-12 2.23029e-11 #avg: 2.22551e-11; avg_err: 4.74949e-12; sd: 1.06202e-11; counts: 6
sfh 0.67831 2.22281e-11 2.78254e-11 1.63255e-11 #avg: 2.30375e-11; avg_err: 6.10324e-12; sd: 1.36473e-11; counts: 6
sfh 0.683373 2.41496e-11 2.29832e-11 1.88823e-11 #avg: 2.41413e-11; avg_err: 5.55001e-12; sd: 1.24102e-11; counts: 6
sfh 0.690967 2.23994e-11 2.75854e-11 1.10792e-11 #avg: 2.48078e-11; avg_err: 5.46173e-12; sd: 1.22128e-11; counts: 6
sfh 0.69856 2.59266e-11 2.48522e-11 1.49569e-11 #avg: 2.71517e-11; avg_err: 5.40553e-12; sd: 1.20871e-11; counts: 6
sfh 0.706154 2.32307e-11 2.3649e-11 1.55397e-11 #avg: 2.29353e-11; avg_err: 5.52935e-12; sd: 1.2364e-11; counts: 6
sfh 0.713748 2.25489e-11 2.46995e-11 1.88191e-11 #avg: 2.18245e-11; avg_err: 6.33333e-12; sd: 1.41618e-11; counts: 6
sfh 0.721342 2.70977e-11 3.21885e-12 2.28999e-11 #avg: 2.0635e-11; avg_err: 4.62289e-12; sd: 1.03371e-11; counts: 6
sfh 0.728935 1.68788e-11 1.38718e-11 1.32828e-11 #avg: 1.58333e-11; avg_err: 4.14218e-12; sd: 9.2622e-12; counts: 6
sfh 0.736529 1.92654e-11 7.11521e-12 1.74594e-11 #avg: 1.69158e-11; avg_err: 3.81701e-12; sd: 8.53509e-12; counts: 6
sfh 0.744123 1.98396e-11 4.23495e-12 1.80302e-11 #avg: 1.48502e-11; avg_err: 3.80262e-12; sd: 8.50293e-12; counts: 6
sfh 0.751717 1.14686e-11 3.37837e-11 9.50491e-12 #avg: 1.57967e-11; avg_err: 6.76088e-12; sd: 1.51178e-11; counts: 6
sfh 0.75931 1.41777e-11 1.19552e-10 1.11037e-11 #avg: 3.07011e-11; avg_err: 2.07735e-11; sd: 4.6451e-11; counts: 6
sfh 0.766904 1.91062e-11 2.85217e-11 1.66493e-11 #avg: 1.76698e-11; avg_err: 6.76596e-12; sd: 1.51291e-11; counts: 6
sfh 0.774498 1.26562e-11 6.36387e-11 1.04921e-11 #avg: 2.11205e-11; avg_err: 1.14172e-11; sd: 2.55295e-11; counts: 6
sfh 0.782092 1.37883e-11 7.75599e-11 1.09663e-11 #avg: 2.68147e-11; avg_err: 1.39095e-11; sd: 3.11026e-11; counts: 6
sfh 0.789685 2.10331e-11 9.30399e-11 1.81324e-11 #avg: 3.09226e-11; avg_err: 1.75088e-11; sd: 3.9151e-11; counts: 6
