#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 1.070280e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 7.853000e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.122453e-11 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.911185 0.350129 0 0 #avg: 0.350129; avg_err: 0.350129; sd: 0; counts: 1
sfh 0.918779 0.477145 0 0 #avg: 0.477145; avg_err: 0.477145; sd: 0; counts: 1
sfh 0.926373 0.487568 0 0 #avg: 0.487568; avg_err: 0.487568; sd: 0; counts: 1
sfh 0.933967 0.363947 0 0 #avg: 0.363947; avg_err: 0.363947; sd: 0; counts: 1
sfh 0.94156 0.329836 0 0 #avg: 0.329836; avg_err: 0.329836; sd: 0; counts: 1
sfh 0.949154 0.332401 0 0 #avg: 0.332401; avg_err: 0.332401; sd: 0; counts: 1
sfh 0.956748 0.456555 0 0 #avg: 0.456555; avg_err: 0.456555; sd: 0; counts: 1
sfh 0.964342 0.250344 0 0 #avg: 0.250344; avg_err: 0.250344; sd: 0; counts: 1
sfh 0.971935 0.437853 0 0 #avg: 0.437853; avg_err: 0.437853; sd: 0; counts: 1
sfh 0.979529 0.389741 0 0 #avg: 0.389741; avg_err: 0.389741; sd: 0; counts: 1
sfh 0.987123 0.186988 0 0 #avg: 0.186988; avg_err: 0.186988; sd: 0; counts: 1
sfh 0.994717 0.330993 0 0 #avg: 0.330993; avg_err: 0.330993; sd: 0; counts: 1
sfh 1.00231 0.20774 0 0 #avg: 0.20774; avg_err: 0.20774; sd: 0; counts: 1
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
iclh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
