#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 1.070280e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 7.853000e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.122453e-11 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.344185 1.19891e-10 0 0 #avg: 1.19891e-10; avg_err: 1.19891e-10; sd: 0; counts: 1
sfh 0.349247 1.1499e-10 0 0 #avg: 1.1499e-10; avg_err: 1.1499e-10; sd: 0; counts: 1
sfh 0.35431 1.28362e-10 0 0 #avg: 1.28362e-10; avg_err: 1.28362e-10; sd: 0; counts: 1
sfh 0.359372 1.23567e-10 0 0 #avg: 1.23567e-10; avg_err: 1.23567e-10; sd: 0; counts: 1
sfh 0.364435 1.22033e-10 0 0 #avg: 1.22033e-10; avg_err: 1.22033e-10; sd: 0; counts: 1
sfh 0.369497 1.01739e-10 0 0 #avg: 1.01739e-10; avg_err: 1.01739e-10; sd: 0; counts: 1
sfh 0.37456 1.39864e-10 0 0 #avg: 1.39864e-10; avg_err: 1.39864e-10; sd: 0; counts: 1
sfh 0.379622 1.28507e-10 0 0 #avg: 1.28507e-10; avg_err: 1.28507e-10; sd: 0; counts: 1
sfh 0.384685 1.02048e-10 0 0 #avg: 1.02048e-10; avg_err: 1.02048e-10; sd: 0; counts: 1
sfh 0.389747 4.90362e-11 0 0 #avg: 4.90362e-11; avg_err: 4.90362e-11; sd: 0; counts: 1
sfh 0.39481 5.15993e-11 0 0 #avg: 5.15993e-11; avg_err: 5.15993e-11; sd: 0; counts: 1
sfh 0.399872 4.41462e-11 0 0 #avg: 4.41462e-11; avg_err: 4.41462e-11; sd: 0; counts: 1
sfh 0.404935 4.57245e-11 0 0 #avg: 4.57245e-11; avg_err: 4.57245e-11; sd: 0; counts: 1
sfh 0.409997 4.78534e-11 0 0 #avg: 4.78534e-11; avg_err: 4.78534e-11; sd: 0; counts: 1
sfh 0.41506 5.01466e-11 0 0 #avg: 5.01466e-11; avg_err: 5.01466e-11; sd: 0; counts: 1
sfh 0.420122 5.04407e-11 0 0 #avg: 5.04407e-11; avg_err: 5.04407e-11; sd: 0; counts: 1
sfh 0.425185 4.73261e-11 0 0 #avg: 4.73261e-11; avg_err: 4.73261e-11; sd: 0; counts: 1
sfh 0.430247 4.60408e-11 0 0 #avg: 4.60408e-11; avg_err: 4.60408e-11; sd: 0; counts: 1
sfh 0.43531 4.49735e-11 0 0 #avg: 4.49735e-11; avg_err: 4.49735e-11; sd: 0; counts: 1
